County, FIPS,Percent,People (Black)
Adams County,42001,1.6,1663
Allegheny County,42003,12.7,158005
Armstrong County,42005,1,627
Beaver County,42007,6,10110
Bedford County,42009,0.8,360
Berks County,42011,5.3,22691
Blair County,42013,1.7,2080
Bradford County,42015,0.7,420
Bucks County,42017,3.9,25405
Butler County,42019,1,1898
Cambria County,42021,3.7,4931
Cameron County,42023,0.2,7
Carbon County,42025,1.9,1252
Centre County,42027,3.5,5564
Chester County,42029,5.6,29593
Clarion County,42031,1.5,564
Clearfield County,42033,2.8,2239
Clinton County,42035,1.2,471
Columbia County,42037,1.7,1083
Crawford County,42039,1.6,1343
Cumberland County,42041,4.2,10855
Dauphin County,42043,19.3,54784
Delaware County,42045,21.8,125032
Elk County,42047,0.7,208
Erie County,42049,6.9,18886
Fayette County,42051,4.2,5408
Forest County,42053,17.9,1274
Franklin County,42055,3.7,5827
Fulton County,42057,1.4,198
Greene County,42059,3,1103
Huntingdon County,42061,5.2,2320
Indiana County,42063,2.2,1833
Jefferson County,42065,0.5,215
Juniata County,42067,1.2,273
Lackawanna County,42069,2.7,5789
Lancaster County,42071,4,21883
Lawrence County,42073,3.6,3145
Lebanon County,42075,2.2,3075
Lehigh County,42077,7.3,27019
Luzerne County,42079,5.3,17111
Lycoming County,42081,4.9,5564
McKean County,42083,2.4,960
Mercer County,42085,6,6678
Mifflin County,42087,0.7,306
Monroe County,42089,14.2,23871
Montgomery County,42091,9.2,78376
Montour County,42093,2,364
Northampton County,42095,6,18764
Northumberland County,42097,2.5,2304
Perry County,42099,0.9,430
Philadelphia County,42101,40.8,651978
Pike County,42103,6.3,3693
Potter County,42105,0.4,72
Schuylkill County,42107,2.9,4223
Snyder County,42109,1,403
Somerset County,42111,2.4,1792
Sullivan County,42113,3.5,205
Susquehanna County,42115,0.6,245
Tioga County,42117,0.9,352
Union County,42119,6.9,2959
Venango County,42121,1.1,583
Warren County,42123,0.7,277
Washington County,42125,3.4,7140
Wayne County,42127,3.3,1667
Westmoreland County,42129,2.3,8233
Wyoming County,42131,1,256
York County,42133,5.9,26971
